metric,source_key,source_role,device,locked_role,candidate_id,execution_id,repetition,ploss,noise_power_dB,balanced_rows,mmd_squared,upv_p10,upv_median,upv_p90,rfsim_p10,rfsim_median,rfsim_p90
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_2,ploss=0|noise=-10,mgen-20260810-173427,1,0,-10,10,0.398192632239,-8.72,-0.475,1.81,-0.084,0.03,0.1827
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_2,ploss=0|noise=-10,mgen-20260810-182024,2,0,-10,10,0.918952778365,-8.72,-0.475,1.81,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_2,ploss=0|noise=-5,mgen-20260810-174009,1,0,-5,10,0.648854498485,-8.72,-0.475,1.81,-0.008,0.0415,0.083
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_2,ploss=0|noise=-5,mgen-20260810-182607,2,0,-5,10,0.918952778365,-8.72,-0.475,1.81,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_3,ploss=-20|noise=-30,mgen-20260810-172302,1,-20,-30,10,1.01964599157,-3.11,-0.35,0.575,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_3,ploss=-20|noise=-30,mgen-20260810-180852,2,-20,-30,10,1.01964599157,-3.11,-0.35,0.575,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_3,ploss=-15|noise=-30,mgen-20260810-171719,1,-15,-30,10,1.01964599157,-3.11,-0.35,0.575,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_3,ploss=-15|noise=-30,mgen-20260810-180309,2,-15,-30,10,1.01964599157,-3.11,-0.35,0.575,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_3,ploss=-10|noise=-30,mgen-20260810-171135,1,-10,-30,10,1.01964599157,-3.11,-0.35,0.575,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_3,ploss=-10|noise=-30,mgen-20260810-175727,2,-10,-30,10,1.01964599157,-3.11,-0.35,0.575,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_3,ploss=-5|noise=-30,mgen-20260810-170448,1,-5,-30,10,1.01964599157,-3.11,-0.35,0.575,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_3,ploss=-5|noise=-30,mgen-20260810-175146,2,-5,-30,10,1.01964599157,-3.11,-0.35,0.575,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_3,ploss=-5|noise=-7,mgen-20260810-193641,1,-5,-7,10,0.399180964674,-3.11,-0.35,0.575,-0.2044,-0.004,0.083
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_3,ploss=-5|noise=-7,mgen-20260810-194833,2,-5,-7,10,0.896642650371,-3.11,-0.35,0.575,-0.0083,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_3,ploss=0|noise=-20,mgen-20260810-172844,1,0,-20,10,1.01964599157,-3.11,-0.35,0.575,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_3,ploss=0|noise=-20,mgen-20260810-181441,2,0,-20,10,1.01964599157,-3.11,-0.35,0.575,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_3,ploss=0|noise=-10,mgen-20260810-173427,1,0,-10,10,0.377945653927,-3.11,-0.35,0.575,-0.084,0.03,0.1827
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_3,ploss=0|noise=-10,mgen-20260810-182024,2,0,-10,10,1.01964599157,-3.11,-0.35,0.575,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_3,ploss=0|noise=-5,mgen-20260810-174009,1,0,-5,10,0.724079498539,-3.11,-0.35,0.575,-0.008,0.0415,0.083
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_3,ploss=0|noise=-5,mgen-20260810-182607,2,0,-5,10,1.01964599157,-3.11,-0.35,0.575,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_4,ploss=-20|noise=-30,mgen-20260810-172302,1,-20,-30,10,1.09999557069,-3.445,-0.075,2.865,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_4,ploss=-20|noise=-30,mgen-20260810-180852,2,-20,-30,10,1.09999557069,-3.445,-0.075,2.865,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_4,ploss=-15|noise=-30,mgen-20260810-171719,1,-15,-30,10,1.09999557069,-3.445,-0.075,2.865,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_4,ploss=-15|noise=-30,mgen-20260810-180309,2,-15,-30,10,1.09999557069,-3.445,-0.075,2.865,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_4,ploss=-10|noise=-30,mgen-20260810-171135,1,-10,-30,10,1.09999557069,-3.445,-0.075,2.865,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_4,ploss=-10|noise=-30,mgen-20260810-175727,2,-10,-30,10,1.09999557069,-3.445,-0.075,2.865,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_4,ploss=-5|noise=-30,mgen-20260810-170448,1,-5,-30,10,1.09999557069,-3.445,-0.075,2.865,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_4,ploss=-5|noise=-30,mgen-20260810-175146,2,-5,-30,10,1.09999557069,-3.445,-0.075,2.865,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_4,ploss=-5|noise=-7,mgen-20260810-193641,1,-5,-7,10,0.455882812304,-3.445,-0.075,2.865,-0.2044,-0.004,0.083
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_4,ploss=-5|noise=-7,mgen-20260810-194833,2,-5,-7,10,0.987800246772,-3.445,-0.075,2.865,-0.0083,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_4,ploss=0|noise=-20,mgen-20260810-172844,1,0,-20,10,1.09999557069,-3.445,-0.075,2.865,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_4,ploss=0|noise=-20,mgen-20260810-181441,2,0,-20,10,1.09999557069,-3.445,-0.075,2.865,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_4,ploss=0|noise=-10,mgen-20260810-173427,1,0,-10,10,0.45996609077,-3.445,-0.075,2.865,-0.084,0.03,0.1827
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_4,ploss=0|noise=-10,mgen-20260810-182024,2,0,-10,10,1.09999557069,-3.445,-0.075,2.865,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_4,ploss=0|noise=-5,mgen-20260810-174009,1,0,-5,10,0.766489080092,-3.445,-0.075,2.865,-0.008,0.0415,0.083
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,spatial_validation_4,ploss=0|noise=-5,mgen-20260810-182607,2,0,-5,10,1.09999557069,-3.445,-0.075,2.865,0,0,0
relative_RSRP,primary,primary_calibration_and_locked_spatial_validation,ASUS,calibration,ploss=-20|noise=-30,mgen-20260810-172302,1,-20,-30,10,1.10484767318,-3.16,0,3.545,0,0,0
relative_RSRP,primary,primary_calibration_and_locked_spatial_validation,ASUS,calibration,ploss=-20|noise=-30,mgen-20260810-180852,2,-20,-30,10,1.10484767318,-3.16,0,3.545,0,0,0
relative_RSRP,primary,primary_calibration_and_locked_spatial_validation,ASUS,calibration,ploss=-15|noise=-30,mgen-20260810-171719,1,-15,-30,10,1.10484767318,-3.16,0,3.545,0,0,0
relative_RSRP,primary,primary_calibration_and_locked_spatial_validation,ASUS,calibration,ploss=-15|noise=-30,mgen-20260810-180309,2,-15,-30,10,1.10484767318,-3.16,0,3.545,0,0,0
relative_RSRP,primary,primary_calibration_and_locked_spatial_validation,ASUS,calibration,ploss=-10|noise=-30,mgen-20260810-171135,1,-10,-30,10,1.10484767318,-3.16,0,3.545,0,0,0
relative_RSRP,primary,primary_calibration_and_locked_spatial_validation,ASUS,calibration,ploss=-10|noise=-30,mgen-20260810-175727,2,-10,-30,10,1.10484767318,-3.16,0,3.545,0,0,0
relative_RSRP,primary,primary_calibration_and_locked_spatial_validation,ASUS,calibration,ploss=-5|noise=-30,mgen-20260810-170448,1,-5,-30,10,1.10484767318,-3.16,0,3.545,0,0,0
relative_RSRP,primary,primary_calibration_and_locked_spatial_validation,ASUS,calibration,ploss=-5|noise=-30,mgen-20260810-175146,2,-5,-30,10,1.10484767318,-3.16,0,3.545,0,0,0
relative_RSRP,primary,primary_calibration_and_locked_spatial_validation,ASUS,calibration,ploss=-5|noise=-7,mgen-20260810-193641,1,-5,-7,10,0.466844828098,-3.16,0,3.545,-0.2044,-0.004,0.083
relative_RSRP,primary,primary_calibration_and_locked_spatial_validation,ASUS,calibration,ploss=-5|noise=-7,mgen-20260810-194833,2,-5,-7,10,0.992651907853,-3.16,0,3.545,-0.0083,0,0
