metric,reference_source,value
relative_RSRP,mgen-20260810-182024,0
relative_RSRP,mgen-20260810-182024,0
relative_RSRP,mgen-20260810-174009,0.083
relative_RSRP,mgen-20260810-174009,-0.008
relative_RSRP,mgen-20260810-174009,-0.008
relative_RSRP,mgen-20260810-174009,0
relative_RSRP,mgen-20260810-174009,-0.008
relative_RSRP,mgen-20260810-174009,0.083
relative_RSRP,mgen-20260810-174009,0.083
relative_RSRP,mgen-20260810-174009,0
relative_RSRP,mgen-20260810-174009,0.083
relative_RSRP,mgen-20260810-174009,0.083
relative_RSRP,mgen-20260810-182607,0
relative_RSRP,mgen-20260810-182607,0
relative_RSRP,mgen-20260810-182607,0
relative_RSRP,mgen-20260810-182607,0
relative_RSRP,mgen-20260810-182607,0
relative_RSRP,mgen-20260810-182607,0
relative_RSRP,mgen-20260810-182607,0
relative_RSRP,mgen-20260810-182607,0
relative_RSRP,mgen-20260810-182607,0
relative_RSRP,mgen-20260810-182607,0
SINR,UPV_primary_calibration,10.25
SINR,UPV_primary_calibration,18.9
SINR,UPV_primary_calibration,17.6
SINR,UPV_primary_calibration,20.8
SINR,UPV_primary_calibration,19.1
SINR,UPV_primary_calibration,18.85
SINR,UPV_primary_calibration,15.8
SINR,UPV_primary_calibration,12.85
SINR,UPV_primary_calibration,14.8
SINR,UPV_primary_calibration,16.6
SINR,mgen-20260810-172302,33.242
SINR,mgen-20260810-172302,30.225
SINR,mgen-20260810-172302,31.508
SINR,mgen-20260810-172302,28.567
SINR,mgen-20260810-172302,33.242
SINR,mgen-20260810-172302,33.242
SINR,mgen-20260810-172302,30.025
SINR,mgen-20260810-172302,30.25
SINR,mgen-20260810-172302,28.425
SINR,mgen-20260810-172302,33.258
SINR,mgen-20260810-180852,25.517
SINR,mgen-20260810-180852,25.508
SINR,mgen-20260810-180852,27.75
SINR,mgen-20260810-180852,28.492
SINR,mgen-20260810-180852,25.5
SINR,mgen-20260810-180852,28.258
SINR,mgen-20260810-180852,25.5
SINR,mgen-20260810-180852,25.508
SINR,mgen-20260810-180852,28.5
SINR,mgen-20260810-180852,28.508
SINR,mgen-20260810-171719,29.642
SINR,mgen-20260810-171719,29.633
SINR,mgen-20260810-171719,31.117
SINR,mgen-20260810-171719,29.625
SINR,mgen-20260810-171719,29.608
SINR,mgen-20260810-171719,29.633
SINR,mgen-20260810-171719,32.609
SINR,mgen-20260810-171719,29.673
SINR,mgen-20260810-171719,29.642
SINR,mgen-20260810-171719,32.633
SINR,mgen-20260810-180309,32.455
SINR,mgen-20260810-180309,30.292
SINR,mgen-20260810-180309,32.05
SINR,mgen-20260810-180309,30.292
SINR,mgen-20260810-180309,30.291
SINR,mgen-20260810-180309,30.283
SINR,mgen-20260810-180309,30.283
SINR,mgen-20260810-180309,32.533
SINR,mgen-20260810-180309,33.292
SINR,mgen-20260810-180309,30.283
SINR,mgen-20260810-171135,39.525
SINR,mgen-20260810-171135,39.533
SINR,mgen-20260810-171135,40.292
SINR,mgen-20260810-171135,42.567
SINR,mgen-20260810-171135,39.55
SINR,mgen-20260810-171135,39.533
SINR,mgen-20260810-171135,39.538
SINR,mgen-20260810-171135,39.1
SINR,mgen-20260810-171135,37.717
SINR,mgen-20260810-171135,39.542
SINR,mgen-20260810-175727,39.8
SINR,mgen-20260810-175727,39.8
SINR,mgen-20260810-175727,40.073
SINR,mgen-20260810-175727,39.8
SINR,mgen-20260810-175727,42.8
SINR,mgen-20260810-175727,38
SINR,mgen-20260810-175727,42.8
SINR,mgen-20260810-175727,42.8
SINR,mgen-20260810-175727,39.5
SINR,mgen-20260810-175727,42.8
SINR,mgen-20260810-170448,42.7
SINR,mgen-20260810-170448,43.95
SINR,mgen-20260810-170448,41.95
SINR,mgen-20260810-170448,42.7
SINR,mgen-20260810-170448,42.7
SINR,mgen-20260810-170448,42.7
SINR,mgen-20260810-170448,43.45
SINR,mgen-20260810-170448,44.2
SINR,mgen-20260810-170448,40.9
SINR,mgen-20260810-170448,42.7
SINR,mgen-20260810-175146,44.9
SINR,mgen-20260810-175146,44.9
SINR,mgen-20260810-175146,44.069
SINR,mgen-20260810-175146,43.1
SINR,mgen-20260810-175146,44.9
SINR,mgen-20260810-175146,44.9
SINR,mgen-20260810-175146,41.9
SINR,mgen-20260810-175146,44.3
SINR,mgen-20260810-175146,43.1
SINR,mgen-20260810-175146,44.9
SINR,mgen-20260810-193641,12.382
SINR,mgen-20260810-193641,10.892
SINR,mgen-20260810-193641,10.383
SINR,mgen-20260810-193641,10.325
SINR,mgen-20260810-193641,9.725
SINR,mgen-20260810-193641,11.508
SINR,mgen-20260810-193641,10.345
SINR,mgen-20260810-193641,11.527
SINR,mgen-20260810-193641,10.392
SINR,mgen-20260810-193641,11.917
SINR,mgen-20260810-194833,10.442
SINR,mgen-20260810-194833,9.817
SINR,mgen-20260810-194833,9.8
SINR,mgen-20260810-194833,9.264
SINR,mgen-20260810-194833,9.364
SINR,mgen-20260810-194833,9.418
SINR,mgen-20260810-194833,10.227
SINR,mgen-20260810-194833,10.492
SINR,mgen-20260810-194833,10.4
SINR,mgen-20260810-194833,11.075
SINR,mgen-20260810-172844,42
SINR,mgen-20260810-172844,40.917
SINR,mgen-20260810-172844,40.675
SINR,mgen-20260810-172844,42.7
SINR,mgen-20260810-172844,42.409
SINR,mgen-20260810-172844,42.709
SINR,mgen-20260810-172844,41.508
SINR,mgen-20260810-172844,42.517
SINR,mgen-20260810-172844,42.409
SINR,mgen-20260810-172844,41.5
SINR,mgen-20260810-181441,37.5
SINR,mgen-20260810-181441,37.725
SINR,mgen-20260810-181441,36.6
SINR,mgen-20260810-181441,36
SINR,mgen-20260810-181441,35.7
SINR,mgen-20260810-181441,37.2
SINR,mgen-20260810-181441,36
SINR,mgen-20260810-181441,36.436
SINR,mgen-20260810-181441,37.5
SINR,mgen-20260810-181441,39.164
SINR,mgen-20260810-173427,18.817
SINR,mgen-20260810-173427,18.608
SINR,mgen-20260810-173427,18.5
SINR,mgen-20260810-173427,19.2
SINR,mgen-20260810-173427,17.592
SINR,mgen-20260810-173427,18.8
SINR,mgen-20260810-173427,17.555
SINR,mgen-20260810-173427,18.282
SINR,mgen-20260810-173427,16.573
SINR,mgen-20260810-173427,18.964
SINR,mgen-20260810-182024,23.058
SINR,mgen-20260810-182024,22.973
SINR,mgen-20260810-182024,24.473
SINR,mgen-20260810-182024,23.567
SINR,mgen-20260810-182024,23.564
SINR,mgen-20260810-182024,24.118
SINR,mgen-20260810-182024,25.283
SINR,mgen-20260810-182024,24.158
SINR,mgen-20260810-182024,21.75
SINR,mgen-20260810-182024,23.167
SINR,mgen-20260810-174009,5.242
SINR,mgen-20260810-174009,5.618
SINR,mgen-20260810-174009,6.373
SINR,mgen-20260810-174009,5.833
SINR,mgen-20260810-174009,5.5
SINR,mgen-20260810-174009,6.209
SINR,mgen-20260810-174009,5.155
SINR,mgen-20260810-174009,5.158
SINR,mgen-20260810-174009,4.775
SINR,mgen-20260810-174009,6.873
SINR,mgen-20260810-182607,9.642
SINR,mgen-20260810-182607,9.058
SINR,mgen-20260810-182607,8.65
SINR,mgen-20260810-182607,8.533
SINR,mgen-20260810-182607,9.536
SINR,mgen-20260810-182607,9.133
SINR,mgen-20260810-182607,9.375
SINR,mgen-20260810-182607,10.108
SINR,mgen-20260810-182607,9.508
SINR,mgen-20260810-182607,8.142
