input,source_id,sha256,git_revision,tracked_worktree_dirty
upv_archive,upv_remote_driving_n40_v1.zip,a8c5a7ab9b683dedc4f770ceab5aebf80eec5d38a99f813808637cb7fa171753,,
phase2_manifest,analysis_manifest.json,635e54580474903206ae8f8d98774e720ac382639b447d30e80efafe763aea5c,,
phase2_gate,reservation_gate_v1.json,8e5198c78b1106dc004671e164a73c0c57d9b2bc27c2304f1eed10eb21ef7fb7,,
config,upv_measurement_audit_v1.yaml,edf03b2b77e7490fa4c0923aba6fe3968eae6d81c009ac642b7bbf22de31b3d0,,
oai_source_checkout,oai_source_checkout,,70508ebaf52f2aae420566d380c6537f2efb9f0c,False
profile_source_checkout,profile_source_checkout,,e6d5d9202ec4492b5c67b13aeaea7b415177ed9b,False
