app,observations,unique_real_rf_states,representable_observations,representable_fraction,rsrp_within_tolerance_fraction,rsrq_within_tolerance_fraction,in_observed_primary_range_fraction,rsrp_absolute_error_db_mean,rsrp_absolute_error_db_p95,rsrq_absolute_error_db_mean,rsrq_absolute_error_db_p95
Amazon_Prime,669,227,321,0.479820627803,0.910313901345,0.479820627803,0.162929745889,1.58894583124,3.6927777778,2.38293253614,5.3553666667
Download,798,303,198,0.248120300752,0.941102756892,0.255639097744,0.0200501253133,1.32687168623,3.3072222222,4.03180752576,7.5946833333
Netflix,1510,590,273,0.180794701987,0.418543046358,0.406622516556,0.0331125827815,5.29109798381,17.3072222222,2.72233905447,6.3553666667
