real_rf_state_id,dwell_runs,total_seconds,duration_seconds_mean,duration_seconds_p50,duration_seconds_p90,duration_seconds_max
rsrp=-80|rsrq=-11|snr=0,3,6,2,2,2,2
rsrp=-80|rsrq=-11|snr=1,3,6,2,2,2,2
rsrp=-81|rsrq=-10|snr=2,3,6,2,2,2,2
rsrp=-81|rsrq=-11|snr=2,3,6,2,2,2,2
rsrp=-90|rsrq=-12|snr=-1,3,6,2,2,2,2
rsrp=-90|rsrq=-12|snr=2,3,6,2,2,2,2
rsrp=-90|rsrq=-14|snr=-8,3,6,2,2,2,2
rsrp=-90|rsrq=-15|snr=-1,4,6,1.5,1.5,2,2
rsrp=-91|rsrq=-12|snr=1,3,6,2,2,2,2
rsrp=-91|rsrq=-13|snr=0,3,6,2,2,2,2
rsrp=-91|rsrq=-13|snr=1,3,6,2,2,2,2
rsrp=-92|rsrq=-13|snr=1,3,6,2,2,2,2
rsrp=-92|rsrq=-14|snr=-6,3,6,2,2,2,2
rsrp=-93|rsrq=-14|snr=0,3,6,2,2,2,2
rsrp=-93|rsrq=-16|snr=-3,3,6,2,2,2,2
rsrp=-96|rsrq=-15|snr=4,3,6,2,2,2,2
rsrp=-96|rsrq=-16|snr=5,2,6,3,3,3.8,4
rsrp=-97|rsrq=-12|snr=4,3,6,2,2,2,2
rsrp=-97|rsrq=-14|snr=-1,3,6,2,2,2,2
rsrp=-97|rsrq=-14|snr=6,3,6,2,2,2,2
rsrp=-98|rsrq=-11|snr=-1,3,6,2,2,2,2
rsrp=-98|rsrq=-11|snr=8,3,6,2,2,2,2
rsrp=-98|rsrq=-12|snr=3,3,6,2,2,2,2
rsrp=-98|rsrq=-12|snr=5,3,6,2,2,2,2
rsrp=-98|rsrq=-12|snr=9,3,6,2,2,2,2
rsrp=-98|rsrq=-13|snr=-1,3,6,2,2,2.8,3
rsrp=-98|rsrq=-14|snr=3,3,6,2,2,2,2
rsrp=-98|rsrq=-14|snr=7,4,6,1.5,1.5,2,2
rsrp=-98|rsrq=-15|snr=5,3,6,2,2,2,2
rsrp=-98|rsrq=-16|snr=2,3,6,2,2,2,2
rsrp=-99|rsrq=-10|snr=8,4,6,1.5,1.5,2,2
rsrp=-99|rsrq=-11|snr=2,3,6,2,2,2,2
rsrp=-99|rsrq=-11|snr=3,3,6,2,2,2,2
rsrp=-99|rsrq=-11|snr=4,3,6,2,2,2,2
rsrp=-99|rsrq=-11|snr=5,3,6,2,2,2,2
rsrp=-99|rsrq=-12|snr=3,3,6,2,2,2,2
rsrp=-99|rsrq=-13|snr=0,3,6,2,2,2,2
rsrp=-99|rsrq=-13|snr=1,3,6,2,2,2,2
rsrp=-99|rsrq=-13|snr=2,3,6,2,2,2,2
rsrp=-99|rsrq=-14|snr=-1,3,6,2,2,2,2
rsrp=-99|rsrq=-15|snr=5,3,6,2,2,2,2
rsrp=-100|rsrq=-14|snr=6,2,5,2.5,2.5,2.9,3
rsrp=-102|rsrq=-14|snr=0,4,5,1.25,1,1.7,2
rsrp=-102|rsrq=-17|snr=1,3,5,1.66666666667,1,2.6,3
rsrp=-104|rsrq=-14|snr=-4,2,5,2.5,2.5,2.9,3
rsrp=-89|rsrq=-11|snr=1,4,5,1.25,1,1.7,2
rsrp=-97|rsrq=-16|snr=4,2,5,2.5,2.5,2.9,3
rsrp=-98|rsrq=-15|snr=6,2,5,2.5,2.5,2.9,3
rsrp=-98|rsrq=-17|snr=4,2,5,2.5,2.5,2.9,3
rsrp=-99|rsrq=-10|snr=2,3,5,1.66666666667,2,2,2
rsrp=-100|rsrq=-10|snr=-1,2,4,2,2,2,2
rsrp=-100|rsrq=-10|snr=8,2,4,2,2,2,2
rsrp=-100|rsrq=-11|snr=-1,2,4,2,2,2,2
rsrp=-100|rsrq=-11|snr=-2,2,4,2,2,2,2
rsrp=-100|rsrq=-11|snr=10,2,4,2,2,2,2
rsrp=-100|rsrq=-11|snr=2,2,4,2,2,2,2
rsrp=-100|rsrq=-11|snr=6,2,4,2,2,2,2
rsrp=-100|rsrq=-12|snr=-2,2,4,2,2,2,2
rsrp=-100|rsrq=-12|snr=6,2,4,2,2,2,2
rsrp=-100|rsrq=-12|snr=7,2,4,2,2,2,2
rsrp=-100|rsrq=-13|snr=-1,2,4,2,2,2,2
rsrp=-100|rsrq=-13|snr=2,4,4,1,1,1,1
rsrp=-100|rsrq=-14|snr=-1,2,4,2,2,2,2
rsrp=-100|rsrq=-14|snr=-3,2,4,2,2,2,2
rsrp=-100|rsrq=-14|snr=0,2,4,2,2,2,2
rsrp=-100|rsrq=-14|snr=1,2,4,2,2,2,2
rsrp=-100|rsrq=-14|snr=8,2,4,2,2,2,2
rsrp=-100|rsrq=-15|snr=-1,2,4,2,2,2,2
rsrp=-100|rsrq=-15|snr=-2,2,4,2,2,2,2
rsrp=-100|rsrq=-15|snr=1,2,4,2,2,2,2
rsrp=-100|rsrq=-15|snr=3,2,4,2,2,2,2
rsrp=-100|rsrq=-15|snr=6,2,4,2,2,2,2
rsrp=-100|rsrq=-16|snr=0,2,4,2,2,2,2
rsrp=-100|rsrq=-16|snr=5,3,4,1.33333333333,1,1.8,2
rsrp=-100|rsrq=-16|snr=7,2,4,2,2,2.8,3
rsrp=-100|rsrq=-17|snr=1,1,4,4,4,4,4
rsrp=-100|rsrq=-17|snr=2,2,4,2,2,2,2
rsrp=-101|rsrq=-10|snr=4,2,4,2,2,2,2
rsrp=-101|rsrq=-11|snr=-1,2,4,2,2,2,2
rsrp=-101|rsrq=-11|snr=0,2,4,2,2,2,2
rsrp=-101|rsrq=-11|snr=1,2,4,2,2,2,2
rsrp=-101|rsrq=-12|snr=-3,2,4,2,2,2,2
rsrp=-101|rsrq=-12|snr=4,2,4,2,2,2,2
rsrp=-101|rsrq=-12|snr=6,2,4,2,2,2,2
rsrp=-101|rsrq=-13|snr=-4,2,4,2,2,2,2
rsrp=-101|rsrq=-13|snr=2,2,4,2,2,2,2
rsrp=-101|rsrq=-13|snr=3,2,4,2,2,2,2
rsrp=-101|rsrq=-13|snr=4,2,4,2,2,2,2
rsrp=-101|rsrq=-13|snr=6,2,4,2,2,2,2
rsrp=-101|rsrq=-13|snr=7,2,4,2,2,2,2
