app,observations,primary_supported,candidate_supported,both_supported,primary_only,candidate_only,union_supported,primary_supported_fraction,candidate_supported_fraction,both_supported_fraction,primary_only_fraction,candidate_only_fraction,union_supported_fraction
Amazon_Prime,669,156,335,156,0,179,335,0.233183856502,0.500747384155,0.233183856502,0,0.267563527653,0.500747384155
Download,798,127,125,91,36,34,161,0.159147869674,0.15664160401,0.114035087719,0.0451127819549,0.0426065162907,0.201754385965
Netflix,1510,203,257,67,136,190,393,0.134437086093,0.170198675497,0.0443708609272,0.0900662251656,0.12582781457,0.260264900662
