evidence,execution_number,rows,clipped_rows,relative_rsrp_mae_db,sinr_mae_db,relative_rsrp_correlation,sinr_correlation,scaled_joint_energy_distance,maximum_command_lateness_seconds,runtime_gate_passed,fidelity_gate_passed
test1_development,1,305,8,0.0752675590164,1.75975195738,0.999547583391,0.793078746546,0.0136455681705,0.173033714294,True,True
test1_development,2,305,8,0.0605886704918,1.67307103934,0.99969438777,0.803829684947,0.0276100909649,0.165610551834,True,True
test1_development,3,305,8,0.0633218303279,1.51963200328,0.999664847647,0.827343133319,0.00690297577832,0.169629096985,True,True
test6_held_out_exploratory,1,297,21,0.0808787609428,1.60321950168,0.999503285982,0.8236938856,0.00665286278387,0.165640592575,True,True
