applied_ploss,applied_noise_power_dB,execution_count,execution_ids,ss_rsrp_dbm_segment_mean_mean,ss_rsrp_dbm_segment_mean_std,ss_rsrp_dbm_segment_mean_min,ss_rsrp_dbm_segment_mean_max,ss_rsrq_db_segment_mean_mean,ss_rsrq_db_segment_mean_std,ss_rsrq_db_segment_mean_min,ss_rsrq_db_segment_mean_max,ss_sinr_db_segment_mean_mean,ss_sinr_db_segment_mean_std,ss_sinr_db_segment_mean_min,ss_sinr_db_segment_mean_max,latency_ms_p95_mean,latency_ms_p95_std,latency_ms_p95_min,latency_ms_p95_max,loss_rate_mean,loss_rate_std,loss_rate_min,loss_rate_max,received_mbps_mean,received_mbps_std,received_mbps_min,received_mbps_max
-5,-30,2,"[""mgen-20260811-010654"",""mgen-20260811-012949""]",-104.440277778,0.778210296406,-104.990555556,-103.89,-10.4053166667,0.294722106399,-10.6137166667,-10.1969166667,40.5935972222,0.662759400893,40.1249555556,41.0622388889,739.034718275,21.0147811304,724.175024033,753.894412518,0,0,0,0,0.0243793555556,3.7555226823e-05,0.0243528,0.0244059111111
0,-30,2,"[""mgen-20260811-010043"",""mgen-20260811-012407""]",-97.3072222222,0.955379828803,-97.9827777778,-96.6316666667,-10.6446333333,0.195020050251,-10.7825333333,-10.5067333333,46.2570944444,1.06454140233,45.50435,47.0098388889,654.541170597,152.052224425,547.024011612,762.058329582,0,0,0,0,0.0243528,0,0.0243528,0.0243528
0,-10,2,"[""mgen-20260811-011236"",""mgen-20260811-013532""]",-101.098086111,0.947786287647,-101.768272222,-100.4279,-9.73287777778,0.156412019998,-9.84347777778,-9.62227777778,15.4654083333,0.926007398787,14.8106222222,16.1201944444,714.224016666,171.059003251,593.267035484,835.180997849,0.00225733634312,0.00319235567127,0,0.00451467268623,0.0242601333333,4.36834855933e-05,0.0242292444444,0.0242910222222
