execution_number,execution_id,oai_rng_seed,research_revision,oai_revision,profile_revision,runner_sha256,commands_sha256,compose_sha256,channel_config_sha256,ue_config_sha256,debug_image_id,paired_rows,missing_rows,clipped_rows,total_rows,total_relative_rsrp_mae_db,total_sinr_mae_db,total_relative_rsrp_pearson_correlation,total_sinr_pearson_correlation,total_relative_rsrp_wasserstein1_db,total_sinr_wasserstein1_db,total_scaled_joint_energy_distance,total_target_relative_rsrp_lag1_correlation,total_observed_relative_rsrp_lag1_correlation,total_target_sinr_lag1_correlation,total_observed_sinr_lag1_correlation,total_relative_rsrp_increment_wasserstein1_db,total_sinr_increment_wasserstein1_db,dynamic_rows,dynamic_relative_rsrp_mae_db,dynamic_sinr_mae_db,dynamic_relative_rsrp_pearson_correlation,dynamic_sinr_pearson_correlation,dynamic_relative_rsrp_wasserstein1_db,dynamic_sinr_wasserstein1_db,dynamic_scaled_joint_energy_distance,dynamic_target_relative_rsrp_lag1_correlation,dynamic_observed_relative_rsrp_lag1_correlation,dynamic_target_sinr_lag1_correlation,dynamic_observed_sinr_lag1_correlation,dynamic_relative_rsrp_increment_wasserstein1_db,dynamic_sinr_increment_wasserstein1_db,supported_only_rows,supported_only_relative_rsrp_mae_db,supported_only_sinr_mae_db,supported_only_relative_rsrp_pearson_correlation,supported_only_sinr_pearson_correlation,supported_only_relative_rsrp_wasserstein1_db,supported_only_sinr_wasserstein1_db,supported_only_scaled_joint_energy_distance,supported_only_target_relative_rsrp_lag1_correlation,supported_only_observed_relative_rsrp_lag1_correlation,supported_only_target_sinr_lag1_correlation,supported_only_observed_sinr_lag1_correlation,supported_only_relative_rsrp_increment_wasserstein1_db,supported_only_sinr_increment_wasserstein1_db,total_relative_rsrp_lag1_correlation_error,total_sinr_lag1_correlation_error,anchor_rsrp_drift_db,anchor_sinr_drift_db,maximum_command_completion_lateness_seconds,p95_command_completion_lateness_seconds,runtime_gate_passed,fidelity_gate_passed,all_per_execution_gates_passed
1,phase3j-test1-execution-1,47001,d28e580092e2140189658f6f305e3e245bfb330b,70508ebaf52f2aae420566d380c6537f2efb9f0c,86180671da37b1943e80cdec7d817678d4cc94f7,1b9b71c41d04948e577ed50bdce73b04b8cfd9b296837d124a172753f77b4630,c25fb55ea78294e7e7f44a9dddf6b985ba50881d09d6f394fbbc96bd074fcc76,db5aade37a4613a95c3f9682cdddf3bc5bc73d74f398c004105547c80b8d0260,8814d9dd7f05ae96093a4f2a327e176f638a0fff8030136a844d1e0950179d72,d7f10f47440e67a9395391b11797473dc24a63c90d2faad9292c216fc3a6734e,sha256:bcd49b62d594c805dbc17a01ad923d80a4a2445cdbbd5d39e5df54a82aa7cfcd,305,0,8,305,0.0752675590164,1.75975195738,0.999547583391,0.793078746546,0.0476394311475,0.361743,0.0136455681705,0.903825822283,0.912529882508,0.766282608822,0.884442189318,0.0675405065789,0.527743279605,305,0.0726133945452,1.75114086604,0.999582965669,0.793501632465,0.045130165037,0.365494099789,0.013662429908,0.903495320742,0.912529882508,0.767825594983,0.884442189318,0.0676113624871,0.511697502558,297,0.0721673922559,1.76981422559,0.999557157056,0.779729451424,0.0439438737374,0.379388158249,0.0143233558537,0.901356916094,0.91071600965,0.768839967981,0.883763398032,0.0674606413793,0.490301006897,0.00870406022508,0.118159580495,0.018547,0.9983335,0.173033714294,0.161625766754,True,True,True
2,phase3j-test1-execution-2,47002,d28e580092e2140189658f6f305e3e245bfb330b,70508ebaf52f2aae420566d380c6537f2efb9f0c,86180671da37b1943e80cdec7d817678d4cc94f7,1b9b71c41d04948e577ed50bdce73b04b8cfd9b296837d124a172753f77b4630,c25fb55ea78294e7e7f44a9dddf6b985ba50881d09d6f394fbbc96bd074fcc76,db5aade37a4613a95c3f9682cdddf3bc5bc73d74f398c004105547c80b8d0260,8814d9dd7f05ae96093a4f2a327e176f638a0fff8030136a844d1e0950179d72,d7f10f47440e67a9395391b11797473dc24a63c90d2faad9292c216fc3a6734e,sha256:bcd49b62d594c805dbc17a01ad923d80a4a2445cdbbd5d39e5df54a82aa7cfcd,305,0,8,305,0.0605886704918,1.67307103934,0.99969438777,0.803829684947,0.0365109557377,0.580165485246,0.0276100909649,0.903825822283,0.910234963864,0.766282608822,0.871801270933,0.0580786677632,0.537263463816,305,0.0583584214587,1.66380723965,0.999724563905,0.805340009755,0.0342370187662,0.579304385146,0.0276321388327,0.903495320742,0.910234963864,0.767825594983,0.871801270933,0.0582741085885,0.521217686769,297,0.0589435976431,1.64683021549,0.999697080375,0.799922027697,0.0342539276094,0.595052087542,0.0287263881201,0.901356916094,0.909086661899,0.768839967981,0.871815511739,0.0600105758621,0.507449913793,0.00640914158062,0.10551866211,-0.033923,-0.3607145,0.165610551834,0.157699298859,True,True,True
3,phase3j-test1-execution-3,47003,d28e580092e2140189658f6f305e3e245bfb330b,70508ebaf52f2aae420566d380c6537f2efb9f0c,86180671da37b1943e80cdec7d817678d4cc94f7,1b9b71c41d04948e577ed50bdce73b04b8cfd9b296837d124a172753f77b4630,c25fb55ea78294e7e7f44a9dddf6b985ba50881d09d6f394fbbc96bd074fcc76,db5aade37a4613a95c3f9682cdddf3bc5bc73d74f398c004105547c80b8d0260,8814d9dd7f05ae96093a4f2a327e176f638a0fff8030136a844d1e0950179d72,d7f10f47440e67a9395391b11797473dc24a63c90d2faad9292c216fc3a6734e,sha256:bcd49b62d594c805dbc17a01ad923d80a4a2445cdbbd5d39e5df54a82aa7cfcd,305,0,8,305,0.0633218303279,1.51963200328,0.999664847647,0.827343133319,0.0416123155738,0.194798285246,0.00690297577832,0.903825822283,0.91146647535,0.766282608822,0.876548063337,0.0649788486842,0.506939184211,305,0.0611165751195,1.51241989775,0.999697213066,0.828615784049,0.0395582718408,0.202203726317,0.00687991512431,0.903495320742,0.91146647535,0.767825594983,0.876548063337,0.0649214288517,0.490893407163,297,0.0597670277778,1.50017043771,0.999695150843,0.823079039154,0.038455763468,0.208915010101,0.00683757326705,0.901356916094,0.909276856665,0.768839967981,0.879013040682,0.0628746172414,0.48467647931,0.0076406530669,0.110265454515,0.0275275,0.6945235,0.169629096985,0.161652755737,True,True,True
