command_index,relative_rsrp_sample_standard_deviation_db,sinr_sample_standard_deviation_db
0,0.129091591244,1.48777920092
1,0.00690225957719,0.525197867475
2,0.0521746101545,1.22508171351
3,0.0853073109788,0.684386006419
4,0.0756210401923,0.404208307414
5,0.0148148980766,0.464391382668
6,0.0176753032441,0.916969839043
7,0.0519894619677,0.889938306736
8,0.0389303393087,0.806869148703
9,0.035562823563,1.19058491076
10,0.0392872619648,1.53762988102
11,0.0277111236965,1.46920443967
12,0.0553749697835,1.03546028332
13,0.0176426827378,1.10651485688
14,0.0448337699919,1.05637817437
15,0.0447404359279,0.745838437941
16,0.0303601253624,0.0492352487587
17,0.0413321307512,0.143629104739
18,0.0245998300964,0.124540166458
19,0.0440416881462,0.264992353246
20,0.026160497022,0.0888645016434
21,0.0151619224794,0.0677678926853
22,0.0167703303194,0.266336999456
23,0.0154943821896,0.686648371231
24,0.0663364145846,0.299773298698
25,0.0131399348529,0.203832248956
26,0.0344560808461,0.421177309116
27,0.196647736966,0.561703643628
28,0.0366696985469,0.627067785126
29,0.0862154337011,0.51254637819
30,0.0601160684671,0.353047922688
31,0.143668320431,0.189629039982
32,0.0339505647894,0.314038900477
33,0.0406311378627,0.714369226785
34,0.0379517501905,0.108091122745
35,0.0793055588889,0.135964371084
36,0.0667758514861,0.0929263774465
37,0.0377359725033,0.862020074699
38,0.109561517954,1.24893863961
39,0.135268333546,1.27588225231
40,0.0252940759949,1.03244999644
41,0.0109247938205,0.479750406566
42,0.043867135548,0.494978676102
43,0.010041898701,0.651553115125
44,0.0132102937996,0.864885805053
45,0.193190018955,0.851539039454
46,0.0608764940017,0.688992788979
47,0.030831536816,0.74355888001
48,0.141526060704,1.28418541878
49,0.0189999983865,0.956476131326
50,0.0281823820442,0.90407855891
51,0.10484440439,0.419436331312
52,0.0816613579772,0.15358534267
53,0.0723084871847,0.106665460241
54,0.0570002129947,0.508917338972
55,0.0824294599047,0.492857
56,0.0366233844664,0.472527738091
57,0.0704124626411,0.564251001022
58,0.0390858568467,0.346704614616
59,0.0676077343062,0.41790328683
60,0.0185839243148,0.35396601993
61,0.0327146722846,0.411505607867
62,0.0230040671952,0.207306559288
63,0.0652846902211,0.253736039871
64,0.0203213644724,0.201060098641
65,0.0478819748968,0.299580007888
66,0.0330546180362,0.865149588693
67,0.0224214444009,0.843048747592
68,0.00213575578446,1.04887647813
69,0.0151831571164,1.14610097772
70,0.189644063562,0.907901945618
71,0.0318331836614,1.0552551281
72,0.20511272001,1.62410135937
73,0.00160201927917,1.10407921486
74,0.0529291337854,0.797274513393
75,0.00911571604086,0.681384934213
76,0.0753129793198,1.11253439559
77,0.101661490991,1.12664404706
78,0.0641865238214,1.14607383237
79,0.0792003472974,1.52332312112
80,0.0461139486537,0.291740394867
81,0.0209147272877,0.317905610644
82,0.132312094563,0.439677302817
83,0.0268111957169,0.6385496545
84,0.0836165498746,0.675984915351
85,0.05178121193,0.592145852936
86,0.0871985014121,0.526104111098
87,0.00943569586839,0.615746814459
88,0.0214933298088,0.629989984533
89,0.0742229286543,0.760541747838
90,0.100807901614,1.15971412928
91,0.0522420948089,0.986550791022
92,0.0673652604551,0.957050283153
93,0.0452082011865,0.700303622199
94,0.024959264421,0.414121435409
95,0.0343302044783,0.487391959771
96,0.0397427792155,0.460165104206
97,0.0179769849258,0.412587767286
98,0.0541703732544,0.407664795775
99,0.0165763906336,0.302212063209
100,0.0184158162532,0.132158965557
101,0.0189168937907,0.563833144916
102,0.072238012677,0.542872664565
103,0.189891747619,0.379737476002
104,0.0211964815757,0.437137292215
105,0.0245122201348,0.693992290561
106,0.00827590253512,0.701087546535
107,0.171560623118,0.503382226005
108,0.00940659606451,1.03080883241
109,0.00374050468131,1.21316528913
110,0.170192239571,1.22452805683
111,0.00521728360236,0.442876704253
112,0.185143149297,0.355208955463
113,0.0587179216553,0.107146176457
114,0.129970775105,1.28146777466
115,0.0853049970914,1.1341957503
116,0.0237776467511,1.00940315193
117,0.0374430358548,1.22986505897
118,0.0207806911263,1.40202601901
119,0.0450397967776,1.05637873671
120,0.00883465571037,1.05158893459
121,0.00713797763872,1.18427215367
122,0.0218001995103,0.847093755102
123,0.0207247900336,0.774476261478
124,0.0163122519349,0.436551923856
125,0.0183326746145,0.529262744184
126,0.0111489404401,0.494372851871
127,0.0154486922161,0.515396238691
128,0.0119080800273,0.224980918147
129,0.00875643203713,0.393851927095
130,0.0153028579364,0.455151804849
131,0.0188404596088,0.411062494123
132,0.00637167369593,0.2932341267
133,0.0075948728772,0.250091668259
134,0.0256145916508,0.278057148675
135,0.00258079082276,0.238217535766
136,0.0321076280841,0.348197964453
137,0.0252378451095,0.447310352058
138,0.0140839764693,0.412621274735
139,0.0098262520078,1.3070909023
140,0.0675704686193,1.29848769773
141,0.0711101711854,1.34972275788
142,0.018772512197,1.07973783965
143,0.0275326816064,1.00103262599
144,0.0295693448105,1.03347855837
145,0.0101116407556,1.24544608499
146,0.0502322603432,0.731932649405
147,0.0403939745355,0.488228484484
148,0.0253314298258,0.487114084303
149,0.01980136347,0.54684115584
150,0.0249464298753,0.705634224471
151,0.0383531468985,0.676977386766
152,0.0197772131889,0.459813533635
153,0.03256167918,0.531598277278
154,0.0651181008305,0.561808998397
155,0.0556755691703,0.428193805857
156,0.0842296631727,0.595518795433
157,0.0318554007944,0.991728267231
158,0.00452041114696,1.59802726376
159,0.0395900656155,1.48590410971
160,0.0145082386056,0.897454204392
161,0.106925013293,1.17644857603
162,0.0197390432524,1.05738456982
163,0.0336282645816,0.642155349209
164,0.1898077784,0.589574382719
165,0.00441790580338,1.37207369908
166,0.0170631150811,1.23191655175
167,0.0442231857855,1.37960853663
168,0.0639675673644,0.5989448356
169,0.0909082239062,0.619913022915
170,0.135640705792,0.82656934826
171,0.0248094883802,0.475040275414
172,0.137627333955,0.738894537513
173,0.00656645328069,0.890120066043
174,0.02415651051,1.08087309141
175,0.025724154209,0.996545828336
176,0.0188185206983,0.931205102465
177,0.00193663992201,0.723201997168
178,0.00771206361407,1.14337037628
179,0.00525839792815,1.35353548891
180,0.0810277035614,1.09192973319
181,0.0112325730699,0.948477477598
182,0.10619888816,1.83794993925
183,0.0188723563165,2.12068297191
184,0.0300490799363,2.03522887784
185,0.0166614680332,1.42080607487
186,0.0619415722699,1.69053614779
187,0.222873400456,1.59636111523
188,0.0378104340287,1.67468161742
189,0.0132690390674,1.91924624907
190,0.0624689312981,1.85804810828
191,0.0139388671893,1.40330062431
192,0.00732189490643,1.27641555128
193,0.0739230303589,1.48976548177
194,0.0280266349557,1.06114924752
195,0.0173679308719,0.904978801479
196,0.0173346049932,0.769651694348
197,0.0182247511237,0.76152118797
198,0.0143877302827,0.941376732377
199,0.0245150866564,0.530773886491
200,0.0244360248493,1.00626431084
201,0.0110785129878,0.864344416543
202,0.0231193369178,0.847535356556
203,0.0283606713958,0.146791705359
204,0.0098541409834,0.66386108654
205,0.0396172957939,0.812034684862
206,0.0314957144972,0.866741877362
207,0.0456476751765,0.411460812229
208,0.0459529168191,1.17847022899
209,0.0139189257854,1.44370563383
210,0.0305164277798,0.702356629549
211,0.0373237899929,0.517664372331
212,0.0618998041073,0.628693689409
213,0.0749093237367,0.871421211869
214,0.0264704263995,1.22084540515
215,0.0155061345663,1.16359168418
216,0.062803382492,1.08324277425
217,0.0365551432567,0.339702472127
218,0.069368621606,0.110733700295
219,0.0270843817068,0.276118872903
220,0.0269506867109,0.25753939663
221,0.0426727949931,0.381835943796
222,0.0310912202884,0.652936912914
223,0.0242161729364,0.700436688861
224,0.0168057796984,0.266776043754
225,0.0174033650129,0.458257195408
226,0.0786016519277,0.501138034809
227,0.0143663470051,0.330157406103
228,0.0455745848694,0.354082204414
229,0.0617707192509,0.671618748143
230,0.0242660138658,0.71713232114
231,0.0209860213302,0.228720256607
232,0.011763876293,1.64589132984
233,0.0410217206583,1.55218547023
234,0.0234904206863,1.37013188625
235,0.0197392282466,1.2351224659
236,0.0333883101964,1.15046535061
237,0.0306166613304,1.18757032445
238,0.00866502167842,1.6885856076
239,0.0652843298007,1.23818931369
240,0.0279544025785,1.02897681479
241,0.0261204473868,0.328338913072
242,0.0316746055688,0.824662494559
243,0.042951250048,0.421368411566
244,0.0927496846366,0.312358976071
245,0.13081950208,2.19877838499
246,0.138296879592,2.12464072393
247,0.041870366926,2.28772608407
248,0.0339262191162,2.09941082599
249,0.028573815753,0.834461886976
250,0.0334141844509,0.513950858241
251,0.00963717601379,0.584420861073
252,0.0345923364023,0.829464375324
253,0.0396366042685,1.19764763216
254,0.0422843835676,1.23667179682
255,0.059904649298,1.27199713424
256,0.12126055742,1.6068573756
257,0.0539365650512,1.98238516684
258,0.0573073693692,1.90178926474
259,0.0795667579443,1.5700160096
260,0.0454329826092,1.38494187591
261,0.0428860287353,1.3778555442
262,0.0581039971174,1.2973186288
263,0.115339586617,0.913960077426
264,0.035027387385,0.0397695530148
265,0.0235122603926,0.0166345865894
266,0.067121969095,0.168173829935
267,0.0538020069934,0.179670298871
268,0.0628487179081,0.314805230311
269,0.0147776375628,0.121708486895
270,0.0560175034983,0.247857485934
271,0.0694835728304,0.282692506199
272,0.0698895236768,0.42102521269
273,0.0391877848286,0.387759120736
274,0.0508106618759,0.247411117904
275,0.00562078366608,0.368555571826
276,0.00802730351286,0.232633383516
277,0.0498069739421,0.147256528909
278,0.0360802767788,0.521615207796
279,0.089940696402,0.442304570781
280,0.0208748238141,0.470468777727
281,0.0186559027974,0.386793216302
282,0.017153997064,0.613154384214
283,0.0130787948771,0.478642565786
284,0.0428560327757,0.384389587661
285,0.102220480727,0.904466565155
286,0.0301709131702,0.990305068112
287,0.0474935077355,0.939170749003
288,0.00352019133299,0.967779951583
289,0.0106784957986,1.01861080068
290,0.0398628248395,1.16832128599
291,0.0319039980805,1.26398987566
292,0.0508433506241,0.682660376712
293,0.0297439162733,0.75764835711
294,0.0170877671602,0.549597717135
295,0.0277321143115,0.371660394892
296,0.0488109831691,0.40433544477
297,0.0228654468909,0.371668748131
298,0.0202881892618,0.772056372849
299,0.0308304323751,0.750422390863
300,0.0191761032348,0.505429797907
301,0.041642989044,0.626742245135
302,0.00359361604388,0.360987776367
303,0.0322416722933,0.317115869532
304,0.0600982153286,0.251661053233
