command_index,trace_row_index_protocol,trace_time_bin_protocol,trace_t_s_protocol,target_relative_rsrp_db,target_sinr_db,projected_relative_rsrp_db,projected_sinr_db,commanded_gain_db,commanded_noise_power_db,clipped_protocol,clipping_distance_scaled_protocol,triangle_index_protocol,vertex_0_protocol,vertex_1_protocol,vertex_2_protocol,barycentric_0_protocol,barycentric_1_protocol,barycentric_2_protocol,barycentric_0_observed,barycentric_1_observed,barycentric_2_observed,clipped_observed,clipping_distance_scaled_observed,command_complete_epoch,command_completion_lateness_seconds,gain_result,noise_result,sample_utc_second,scheduled_epoch,trace_row_index_observed,trace_t_s_observed,trace_time_bin_observed,triangle_index_observed,vertex_0_observed,vertex_1_observed,vertex_2_observed,channel_verification_utc_second,channel_verification_emitted_epoch_us,ue_measurement_emitted_epoch_us,applied_gain_db,applied_noise_power_db,channel_family,channel_model_name,channel_snapshot_id,channel_snapshot_timestamp_ns,tap_energy_linear,tap_fingerprint_fnv1a64,channel_length,nb_taps,nb_tx,nb_rx,rsrp_digital_power_linear,rsrp_db_per_re_unquantized,ss_rsrp_dbm_integer,ss_sinr_db,attached,observed_relative_rsrp_db,relative_rsrp_error_db,sinr_error_db
10,164,164,164,-1.4,17.15,-1.4,17.15,-11.34183693,-28.345924735,False,0,21,2,5,14,0.555610219955,0.386735657596,0.0576541224496,0.555610219955,0.386735657596,0.0576541224496,False,0,1788219265.16,0.155272960663,"{'applied_epoch': 1788219265.1552646, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -11.341837, 'parameter': 'ploss', 'requested': -11.34183693, 'verified': True}","{'applied_epoch': 1788219265.1552646, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -28.345924, 'parameter': 'noise_power_dB', 'requested': -28.345924735, 'verified': True}",1788219265,1788219265,164,164,164,21,2,5,14,1788219266,1788219266000812,1788219266019560,-11.34183693,-28.345924377,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,11415.2142857,40.338188,-108,14.014286,True,-1.03770425,0.36229575,-3.135714
11,165,165,165,-1.6,15.95,-1.6,15.95,-11.56470503,-27.31178385,False,0,20,2,3,6,0.770594616727,0.0117578980909,0.217647485183,0.770594616727,0.0117578980909,0.217647485183,False,0,1788219266.1,0.103277921677,"{'applied_epoch': 1788219266.103269, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -11.564705, 'parameter': 'ploss', 'requested': -11.56470503, 'verified': True}","{'applied_epoch': 1788219266.103269, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -27.311785, 'parameter': 'noise_power_dB', 'requested': -27.31178385, 'verified': True}",1788219266,1788219266,165,165,165,20,2,3,6,1788219267,1788219267000284,1788219267059399,-11.56470503,-27.311784744,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,9485.8,39.770247,-108,13.44,True,-1.60564525,-0.00564525000001,-2.51
12,166,166,166,-0.7,14.8,-0.7,14.8,-10.719801969,-25.113324784,False,0,20,2,3,6,0.0377749279963,0.322126056319,0.640099015684,0.0377749279963,0.322126056319,0.640099015684,False,0,1788219267.16,0.155308485031,"{'applied_epoch': 1788219267.1552835, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -10.719802, 'parameter': 'ploss', 'requested': -10.719801969, 'verified': True}","{'applied_epoch': 1788219267.1552835, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -25.113325, 'parameter': 'noise_power_dB', 'requested': -25.113324784, 'verified': True}",1788219267,1788219267,166,166,166,20,2,3,6,1788219268,1788219268000907,1788219268040588,-10.719801969,-25.113325119,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,11497.3571429,40.599961,-107,14.535714,True,-0.77593125,-0.07593125,-0.264286
13,167,167,167,-1.5,12,-1.5,12,-11.643286343,-23.446032243,False,0,18,4,7,3,0.339632423964,0.178356828416,0.48201074762,0.339632423964,0.178356828416,0.48201074762,False,0,1788219268.1,0.103276968002,"{'applied_epoch': 1788219268.1032681, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -11.643286, 'parameter': 'ploss', 'requested': -11.643286343, 'verified': True}","{'applied_epoch': 1788219268.1032681, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -23.446032, 'parameter': 'noise_power_dB', 'requested': -23.446032243, 'verified': True}",1788219268,1788219268,167,167,167,18,4,7,3,1788219269,1788219269000716,1788219269010926,-11.643286343,-23.44603157,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,9722.21428571,39.875399,-108,13.85,True,-1.50049325,-0.000493250000005,1.85
14,168,168,168,-3.2,14.5,-3.2,14.5,-13.214318138,-27.425778386,False,0,23,1,3,2,0.303579534434,0.393793560811,0.302626904755,0.303579534434,0.393793560811,0.302626904755,False,0,1788219269.15,0.15083527565,"{'applied_epoch': 1788219269.1508296, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -13.214318, 'parameter': 'ploss', 'requested': -13.214318138, 'verified': True}","{'applied_epoch': 1788219269.1508296, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -27.425777, 'parameter': 'noise_power_dB', 'requested': -27.425778386, 'verified': True}",1788219269,1788219269,168,168,168,23,1,3,2,1788219270,1788219270000558,1788219270046964,-13.214318138,-27.425777435,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,6826.93333333,38.31239,-110,12.226667,True,-3.06350225,0.13649775,-2.273333
15,169,169,169,-1.85,13.6,-1.85,13.6,-11.907063841,-25.178968928,False,0,20,2,3,6,0.0596563092304,0.893875611503,0.0464680792666,0.0596563092304,0.893875611503,0.0464680792666,False,0,1788219270.1,0.103276252747,"{'applied_epoch': 1788219270.103267, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -11.907064, 'parameter': 'ploss', 'requested': -11.907063841, 'verified': True}","{'applied_epoch': 1788219270.103267, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -25.178968, 'parameter': 'noise_power_dB', 'requested': -25.178968928, 'verified': True}",1788219270,1788219270,169,169,169,20,2,3,6,1788219271,1788219271001234,1788219271023770,-11.907063841,-25.17896843,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,8994.57142857,39.539458,-108,13.578571,True,-1.83643425,0.01356575,-0.021429
16,170,170,170,-0.1,15.7,-0.1,15.7,-10.092529075,-25.371445057,False,0,19,6,5,2,0.876184981125,0.0775504811637,0.0462645377117,0.876184981125,0.0775504811637,0.0462645377117,False,0,1788219271.16,0.155276298523,"{'applied_epoch': 1788219271.1552684, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -10.092529, 'parameter': 'ploss', 'requested': -10.092529075, 'verified': True}","{'applied_epoch': 1788219271.1552684, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -25.371445, 'parameter': 'noise_power_dB', 'requested': -25.371445057, 'verified': True}",1788219271,1788219271,170,170,170,19,6,5,2,1788219272,1788219272000207,1788219272003561,-10.092529075,-25.371444702,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,13019.5714286,41.121551,-107,15.464286,True,-0.25434125,-0.15434125,-0.235714
17,171,171,171,0,17.4,0,17.4,-9.950753917,-27.100437595,False,0,13,9,5,6,0.0246230416618,0.700145865007,0.275231093332,0.0246230416618,0.700145865007,0.275231093332,False,0,1788219272.11,0.114795207977,"{'applied_epoch': 1788219272.1147897, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -9.950754, 'parameter': 'ploss', 'requested': -9.950753917, 'verified': True}","{'applied_epoch': 1788219272.1147897, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -27.100437, 'parameter': 'noise_power_dB', 'requested': -27.100437595, 'verified': True}",1788219272,1788219272,171,171,171,13,9,5,6,1788219273,1788219273001539,1788219273057824,-9.950753917,-27.100437164,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,13590.1333333,41.331894,-106,15.673333,True,-0.04399825,-0.04399825,-1.726667
18,172,172,172,2.9,16.85,2.9,16.85,-7.072849413,-23.58592786,False,0,12,9,17,11,0.689004282677,0.158416141121,0.152579576202,0.689004282677,0.158416141121,0.152579576202,False,0,1788219273.16,0.155259609222,"{'applied_epoch': 1788219273.1552505, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -7.072849, 'parameter': 'ploss', 'requested': -7.072849413, 'verified': True}","{'applied_epoch': 1788219273.1552505, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -23.585928, 'parameter': 'noise_power_dB', 'requested': -23.58592786, 'verified': True}",1788219273,1788219273,172,172,172,12,9,17,11,1788219274,1788219274000863,1788219274029952,-7.072849413,-23.585927963,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,25756.3571429,44.057648,-104,18.428572,True,2.68175575,-0.21824425,1.578572
19,173,173,173,4.1,15.9,4.1,15.9,-5.922131897,-21.390061023,False,0,12,9,17,11,0.266282563839,0.428500820961,0.3052166152,0.266282563839,0.428500820961,0.3052166152,False,0,1788219274.11,0.107281446457,"{'applied_epoch': 1788219274.1072714, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -5.922132, 'parameter': 'ploss', 'requested': -5.922131897, 'verified': True}","{'applied_epoch': 1788219274.1072714, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -21.39006, 'parameter': 'noise_power_dB', 'requested': -21.390061023, 'verified': True}",1788219274,1788219274,173,173,173,12,9,17,11,1788219275,1788219275000796,1788219275000610,-5.922131897,-21.390060425,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,35222.7857143,45.467199,-102,17.357143,True,4.09130675,-0.00869325000001,1.457143
20,174,174,174,4.95,17.6,4.95,17.6,-5.020153205,-22.384609118,False,0,12,9,17,11,0.161249344236,0.187577914188,0.651172741575,0.161249344236,0.187577914188,0.651172741575,False,0,1788219275.16,0.155277490616,"{'applied_epoch': 1788219275.1552687, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -5.020153, 'parameter': 'ploss', 'requested': -5.020153205, 'verified': True}","{'applied_epoch': 1788219275.1552687, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -22.384609, 'parameter': 'noise_power_dB', 'requested': -22.384609118, 'verified': True}",1788219275,1788219275,174,174,174,12,9,17,11,1788219276,1788219276001447,1788219276040969,-5.020153205,-22.384609222,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,42369.6,46.266056,-102,17,True,4.89016375,-0.05983625,-0.6
21,175,175,175,5.1,18.9,5.1,18.9,-4.829267521,-23.618216239,False,0,11,11,8,9,0.792683119636,0.0678608259276,0.139456054436,0.792683119636,0.0678608259276,0.139456054436,False,0,1788219276.13,0.127277612686,"{'applied_epoch': 1788219276.1272683, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -4.829268, 'parameter': 'ploss', 'requested': -4.829267521, 'verified': True}","{'applied_epoch': 1788219276.1272683, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -23.618216, 'parameter': 'noise_power_dB', 'requested': -23.618216239, 'verified': True}",1788219276,1788219276,175,175,175,11,11,8,9,1788219277,1788219277001720,1788219277024301,-4.829267521,-23.618215561,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,44363.1428571,46.469756,-101,17.228571,True,5.09386375,-0.00613625000001,-1.671429
