lag_seconds,paired_rows,relative_rsrp_correlation,sinr_correlation
-3,57,0.506220466614,0.387702106229
-2,58,0.668233566723,0.500933950118
-1,59,0.851343208138,0.592033959324
0,60,0.999552521591,0.769464981456
1,59,0.865854187035,0.762954777892
2,58,0.681457309756,0.583263787617
3,57,0.520448406425,0.405258104437
