empirical_gain_db,empirical_noise_power_db
-17.6639620876,-28.1041070545
-13.8599089655,-33.8516467601
-3.59551542909,-29.138431322
-2.30584408996,-27.5272688584
-0.654761127071,-22.5515075659
-0.284874710047,-21.2350645694
-0.394451892784,-19.9880041448
-1.48232779883,-18.6637169725
-5.89129367088,-17.9915894737
-10.1175473995,-20.4219407634
-13.5110738179,-22.6305550618
-17.6411478412,-26.7293893651
