model,response,parameter_count,central_execution_rmse_db,central_state_loso_rmse_db,central_state_loso_max_absolute_error_db,lack_of_fit_f_ratio,boundary_state_rmse_db,boundary_state_max_absolute_error_db
bilinear,relative_RSRP,4,0.0165946256948,0.032916560529,0.0617463030303,24.6803531983,0.439909141041,0.60876537037
bilinear,SINR,4,0.283336429115,0.34560242367,0.85365,1.31705867642,0.700958117875,1.25360768519
quadratic,relative_RSRP,6,0.00703792735087,0.0145429059018,0.030504,2.4778985592,0.169486496007,0.255252481482
quadratic,SINR,6,0.268814735922,0.441381226569,1.21215342857,1.37658672314,1.33655339988,2.30613825926
