fold_id,holdout_session_id,candidate_id,states,emission,model_eligible,predictive_log_score_per_row,supported_position_fraction,joint_reference_p90,temporal_reference_p90,joint_mmd_squared_mean,joint_mmd_squared_median,joint_mmd_squared_p10,joint_mmd_squared_p90,temporal_error_mean,temporal_error_median,temporal_error_p10,temporal_error_p90
fold_3_corrected_test_3_ASUS,corrected_test_3_ASUS,student_t_2state,2,multivariate_student_t_db,True,-4.28059187596,1,0.0171550033149,0.0601614236483,0.00666953631236,0.00635643322082,0.00322308822115,0.0112116695235,0.196690297175,0.19433924803,0.165008728322,0.229491101711
fold_3_corrected_test_3_ASUS,corrected_test_3_ASUS,gamma_gaussian_1state,1,gamma_relative_power_gaussian_sinr,True,-4.77461545473,1,0.0171550033149,0.0601614236483,0.0130943819374,0.0128318612305,0.00980215588639,0.0168874696776,0.289889333232,0.288901575995,0.26078311791,0.32091431319
fold_3_corrected_test_3_ASUS,corrected_test_3_ASUS,gamma_gaussian_2state,2,gamma_relative_power_gaussian_sinr,True,-4.47431977826,1,0.0171550033149,0.0601614236483,0.00771635114647,0.00756237361445,0.00490654312716,0.0111497068434,0.177079798415,0.178266794758,0.158054856189,0.198115932344
fold_4_corrected_test_4_ASUS,corrected_test_4_ASUS,paired_moving_block_bootstrap,0,empirical_paired_blocks,True,,1,0.0121429755566,0.0725421745506,0.0117351394301,0.0109707208226,0.00619550995236,0.018226763147,0.11176832418,0.106533168562,0.0834464660725,0.149872885268
fold_4_corrected_test_4_ASUS,corrected_test_4_ASUS,gaussian_1state,1,multivariate_gaussian_db,True,-4.404888542,1,0.0121429755566,0.0725421745506,0.0106064504581,0.00954261210008,0.00619525647795,0.0155112273699,0.308860845627,0.307278890333,0.27325506954,0.348221066009
fold_4_corrected_test_4_ASUS,corrected_test_4_ASUS,gaussian_2state,2,multivariate_gaussian_db,True,-4.27357358171,1,0.0121429755566,0.0725421745506,0.0129547804408,0.0128845245759,0.0073569750162,0.0178278378899,0.226075038466,0.224700456261,0.200485084577,0.252475609242
fold_4_corrected_test_4_ASUS,corrected_test_4_ASUS,student_t_1state,1,multivariate_student_t_db,True,-4.43482861154,1,0.0121429755566,0.0725421745506,0.00979334556907,0.00946696093948,0.00576277243647,0.0142520140585,0.331925977622,0.331307316308,0.289723222292,0.37190747084
fold_4_corrected_test_4_ASUS,corrected_test_4_ASUS,student_t_2state,2,multivariate_student_t_db,True,-4.30477873563,1,0.0121429755566,0.0725421745506,0.0117322804091,0.0107350236789,0.00532006451513,0.0190161103417,0.209242775654,0.205266459069,0.17440244281,0.250368437269
fold_4_corrected_test_4_ASUS,corrected_test_4_ASUS,gamma_gaussian_1state,1,gamma_relative_power_gaussian_sinr,True,-4.6658700313,1,0.0121429755566,0.0725421745506,0.0178751167056,0.0174930420329,0.0128822528448,0.0241997278704,0.319818535317,0.321355309023,0.290682744199,0.34555536441
fold_4_corrected_test_4_ASUS,corrected_test_4_ASUS,gamma_gaussian_2state,2,gamma_relative_power_gaussian_sinr,True,-4.36276404721,1,0.0121429755566,0.0725421745506,0.0126696139501,0.011379414623,0.00651551707993,0.0223507409273,0.194841645722,0.19204437261,0.170949760772,0.220866872413
fold_5_corrected_test_5_ASUS,corrected_test_5_ASUS,paired_moving_block_bootstrap,0,empirical_paired_blocks,True,,1,0.0172776168671,0.0497179441115,0.00823661036174,0.00796236436897,0.00472772061337,0.0121609005277,0.154653417912,0.153145888448,0.126746461527,0.185978964431
fold_5_corrected_test_5_ASUS,corrected_test_5_ASUS,gaussian_1state,1,multivariate_gaussian_db,True,-4.39533484633,1,0.0172776168671,0.0497179441115,0.00634397983209,0.00549882336383,0.00407604271244,0.00912297447078,0.337944661564,0.336852963823,0.305775161691,0.372072774311
fold_5_corrected_test_5_ASUS,corrected_test_5_ASUS,gaussian_2state,2,multivariate_gaussian_db,True,-4.22755462771,1,0.0172776168671,0.0497179441115,0.00820773030957,0.00735645813053,0.00389973291448,0.014076711858,0.254319740663,0.253336833452,0.218474039828,0.291487593827
fold_5_corrected_test_5_ASUS,corrected_test_5_ASUS,student_t_1state,1,multivariate_student_t_db,True,-4.41520547647,1,0.0172776168671,0.0497179441115,0.00660199266826,0.00634027828513,0.00445822622019,0.00943951908161,0.359773544778,0.360391974871,0.319166703846,0.399377704741
fold_5_corrected_test_5_ASUS,corrected_test_5_ASUS,student_t_2state,2,multivariate_student_t_db,True,-4.22801083675,1,0.0172776168671,0.0497179441115,0.0080933737667,0.00726330548775,0.00457406209585,0.0123413908877,0.247421600663,0.248036605604,0.207111991483,0.287533492836
fold_5_corrected_test_5_ASUS,corrected_test_5_ASUS,gamma_gaussian_1state,1,gamma_relative_power_gaussian_sinr,True,-4.65111231271,1,0.0172776168671,0.0497179441115,0.0143593815768,0.0139951663069,0.0103349792472,0.0201287213257,0.346554450251,0.346862184206,0.31578204952,0.377116895218
fold_5_corrected_test_5_ASUS,corrected_test_5_ASUS,gamma_gaussian_2state,2,gamma_relative_power_gaussian_sinr,True,-4.26008380255,1,0.0172776168671,0.0497179441115,0.00952397733976,0.00921327705846,0.00515437007199,0.0142505851907,0.227540598794,0.227163609148,0.19939129048,0.255943663677
