trace_id,app,content,candidate_ploss,candidate_noise_power_dB,execution_count,target_rsrp,candidate_ss_rsrp_dbm_segment_mean,candidate_ss_rsrp_dbm_segment_mean_std,rsrp_error,rsrp_absolute_error,target_rsrq,candidate_ss_rsrq_db_segment_mean,candidate_ss_rsrq_db_segment_mean_std,rsrq_error,rsrq_absolute_error,primary_distance,within_declared_tolerance,target_within_observed_primary_range,target_snr_diagnostic,candidate_ss_sinr_db_segment_mean_diagnostic,snr_proxy_error,candidate_latency_ms_p95_mean,candidate_latency_ms_p95_std,candidate_loss_rate_mean,candidate_loss_rate_std,candidate_received_mbps_mean,candidate_received_mbps_std,primary_rank,candidate_role
0544fbe595d5a3c9,Amazon_Prime,Season3-TheExpanse,0,-5,2,-100,-99.5865277778,0.568945972885,0.413472222222,0.413472222222,-13,-10.5380305556,0.000145349727242,2.46196944444,2.46196944444,0.87587637876,False,False,-1,6.36910277778,7.36910277778,459.305167198,0.593764801821,0,0,0.0243528,0,1,nearest_observed_state
0544fbe595d5a3c9,Amazon_Prime,Season3-TheExpanse,0,-10,2,-100,-107.990297222,2.12047574379,-7.99029722222,7.99029722222,-13,-10.5249111111,0.0244816081131,2.47508888889,2.47508888889,2.07670272798,False,False,-1,8.35522777778,9.35522777778,395.845067501,95.7786289473,0,0,0.0243528,0,2,alternative_observed_state
0544fbe595d5a3c9,Amazon_Prime,Season3-TheExpanse,-5,-30,2,-100,-117.126586111,0.689150197315,-17.1265861111,17.1265861111,-13,-10.4216333333,0.036337431811,2.57836666667,2.57836666667,4.13842357818,False,False,-1,28.4946222222,29.4946222222,492.717659473,43.1361361979,0.00451467268623,0.00638471134254,0.0242292444444,0.000174733942373,3,alternative_observed_state
5017155ccec50de6,Amazon_Prime,animated-Ninjago,0,-10,2,-104,-107.990297222,2.12047574379,-3.99029722222,3.99029722222,-13,-10.5249111111,0.0244816081131,2.47508888889,2.47508888889,1.28465555672,False,False,-5,8.35522777778,13.3552277778,395.845067501,95.7786289473,0,0,0.0243528,0,1,nearest_observed_state
5017155ccec50de6,Amazon_Prime,animated-Ninjago,0,-5,2,-104,-99.5865277778,0.568945972885,4.41347222222,4.41347222222,-13,-10.5380305556,0.000145349727242,2.46196944444,2.46196944444,1.35639734291,False,False,-5,6.36910277778,11.3691027778,459.305167198,0.593764801821,0,0,0.0243528,0,2,alternative_observed_state
5017155ccec50de6,Amazon_Prime,animated-Ninjago,-5,-30,2,-104,-117.126586111,0.689150197315,-13.1265861111,13.1265861111,-13,-10.4216333333,0.036337431811,2.57836666667,2.57836666667,3.22546470325,False,False,-5,28.4946222222,33.4946222222,492.717659473,43.1361361979,0.00451467268623,0.00638471134254,0.0242292444444,0.000174733942373,3,alternative_observed_state
586e06de07e8a2ae,Amazon_Prime,animated-Ninjago,0,-5,2,-100,-99.5865277778,0.568945972885,0.413472222222,0.413472222222,-14,-10.5380305556,0.000145349727242,3.46196944444,3.46196944444,1.2278647287,False,False,4,6.36910277778,2.36910277778,459.305167198,0.593764801821,0,0,0.0243528,0,1,nearest_observed_state
586e06de07e8a2ae,Amazon_Prime,animated-Ninjago,0,-10,2,-100,-107.990297222,2.12047574379,-7.99029722222,7.99029722222,-14,-10.5249111111,0.0244816081131,3.47508888889,3.47508888889,2.24865880974,False,False,4,8.35522777778,4.35522777778,395.845067501,95.7786289473,0,0,0.0243528,0,2,alternative_observed_state
586e06de07e8a2ae,Amazon_Prime,animated-Ninjago,-5,-30,2,-100,-117.126586111,0.689150197315,-17.1265861111,17.1265861111,-14,-10.4216333333,0.036337431811,3.57836666667,3.57836666667,4.23038312439,False,False,4,28.4946222222,24.4946222222,492.717659473,43.1361361979,0.00451467268623,0.00638471134254,0.0242292444444,0.000174733942373,3,alternative_observed_state
8918a157ff8020b1,Amazon_Prime,animated-Ninjago,0,-5,2,-97,-99.5865277778,0.568945972885,-2.58652777778,2.58652777778,-11,-10.5380305556,0.000145349727242,0.461969444444,0.461969444444,0.631150247226,True,False,-7,6.36910277778,13.3691027778,459.305167198,0.593764801821,0,0,0.0243528,0,1,nearest_observed_state
8918a157ff8020b1,Amazon_Prime,animated-Ninjago,0,-10,2,-97,-107.990297222,2.12047574379,-10.9902972222,10.9902972222,-11,-10.5249111111,0.0244816081131,0.475088888889,0.475088888889,2.59587792151,False,False,-7,8.35522777778,15.3552277778,395.845067501,95.7786289473,0,0,0.0243528,0,2,alternative_observed_state
8918a157ff8020b1,Amazon_Prime,animated-Ninjago,-5,-30,2,-97,-117.126586111,0.689150197315,-20.1265861111,20.1265861111,-11,-10.4216333333,0.036337431811,0.578366666667,0.578366666667,4.74828689278,False,False,-7,28.4946222222,35.4946222222,492.717659473,43.1361361979,0.00451467268623,0.00638471134254,0.0242292444444,0.000174733942373,3,alternative_observed_state
