scenario_id,trace_id,app,content,run_index,observed_segment_index,gap_before_seconds,start_second,end_second_exclusive,duration_seconds,real_rf_state_id,target_rsrp_dbm,target_rsrq_db,target_snr_db
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,0,0,0,0,1,1,rsrp=-89|rsrq=-11|snr=1,-89,-11,1
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,1,0,0,1,3,2,rsrp=-88|rsrq=-18|snr=-8,-88,-18,-8
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,2,0,0,3,5,2,rsrp=-89|rsrq=-16|snr=4,-89,-16,4
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,3,0,0,5,7,2,rsrp=-90|rsrq=-16|snr=2,-90,-16,2
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,4,0,0,7,9,2,rsrp=-89|rsrq=-15|snr=1,-89,-15,1
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,5,0,0,9,11,2,rsrp=-89|rsrq=-14|snr=3,-89,-14,3
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,6,0,0,11,12,1,rsrp=-89|rsrq=-15|snr=2,-89,-15,2
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,7,1,1,13,14,1,rsrp=-89|rsrq=-15|snr=2,-89,-15,2
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,8,1,0,14,16,2,rsrp=-89|rsrq=-13|snr=-4,-89,-13,-4
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,9,1,0,16,18,2,rsrp=-89|rsrq=-15|snr=-2,-89,-15,-2
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,10,1,0,18,20,2,rsrp=-88|rsrq=-17|snr=-7,-88,-17,-7
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,11,1,0,20,22,2,rsrp=-89|rsrq=-15|snr=-2,-89,-15,-2
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,12,1,0,22,24,2,rsrp=-90|rsrq=-16|snr=0,-90,-16,0
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,13,1,0,24,26,2,rsrp=-88|rsrq=-17|snr=0,-88,-17,0
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,14,2,1,27,29,2,rsrp=-88|rsrq=-15|snr=0,-88,-15,0
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,15,2,0,29,31,2,rsrp=-88|rsrq=-16|snr=1,-88,-16,1
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,16,2,0,31,33,2,rsrp=-89|rsrq=-12|snr=2,-89,-12,2
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,17,2,0,33,35,2,rsrp=-89|rsrq=-16|snr=4,-89,-16,4
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,18,2,0,35,37,2,rsrp=-89|rsrq=-16|snr=2,-89,-16,2
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,19,2,0,37,39,2,rsrp=-88|rsrq=-16|snr=1,-88,-16,1
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,20,2,0,39,40,1,rsrp=-88|rsrq=-12|snr=4,-88,-12,4
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,21,3,1,41,42,1,rsrp=-88|rsrq=-12|snr=4,-88,-12,4
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,22,3,0,42,44,2,rsrp=-89|rsrq=-15|snr=7,-89,-15,7
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,23,3,0,44,46,2,rsrp=-89|rsrq=-10|snr=6,-89,-10,6
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,24,3,0,46,48,2,rsrp=-89|rsrq=-11|snr=4,-89,-11,4
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,25,3,0,48,50,2,rsrp=-90|rsrq=-16|snr=2,-90,-16,2
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,26,3,0,50,52,2,rsrp=-89|rsrq=-12|snr=6,-89,-12,6
