candidate,mae_improvement_db,mae_improvement_fraction,p95_improvement_db,p95_improvement_fraction,mean_absolute_residual_lag1_reduction,maximum_single_fold_mae_degradation_db,alpha_range_across_folds,b_range_across_folds,alpha_boundary_hit,affine_boundary_hit,mae_absolute_gate,mae_relative_gate,p95_absolute_gate,p95_relative_gate,residual_lag_gate,fold_noninferiority_gate,alpha_stability_gate,b_stability_gate,parameter_interior_gate,all_candidate_gates_passed
memory_only,0.177608491563,0.112329845029,0.264536585672,0.0656387035443,-0.0801775105103,-0.112092167874,0.025,0,False,False,True,True,True,False,False,True,True,True,True,False
combined,0.165962848991,0.104964469568,0.311992203422,0.077413729736,-0.0817371988303,-0.0613361535391,0.033,0.0415270534999,False,False,True,True,True,False,False,True,True,True,True,False
