command_index,trace_row_index,trace_time_bin,trace_t_s,target_relative_rsrp_db,target_sinr_db,projected_relative_rsrp_db,projected_sinr_db,commanded_gain_db,commanded_noise_power_db,clipped,clipping_distance_scaled,triangle_index,vertex_0,vertex_1,vertex_2,barycentric_0,barycentric_1,barycentric_2,relative_rsrp_clipping_error_db,sinr_clipping_error_db
72,72,72,72,-4.3,20.4,-4.24235708939,20.0726586004,-14.145118288,-34.036279572,True,0.173524646992,-1,0,14,-1,0.0362795720857,0.963720427914,0,0.0576429106131,-0.327341399581
101,101,101,101,-7.7,10.6,-7.69558525383,10.6009406634,-18,-28.242644441,True,0.0044397292288,-1,0,13,-1,0.155330555123,0.844669444877,0,0.00441474616863,0.000940663365137
102,102,102,102,-7.55,9.15,-7.54515811889,9.34491089196,-17.916000607,-26.916000607,True,0.0975756514894,-1,13,15,-1,0.979000151741,0.0209998482588,0,0.0048418811133,0.194910891957
107,107,107,107,6.25,25.8,6.29182510864,25.4718909755,-3.607965474,-28.803982737,True,0.169302163889,-1,14,18,-1,0.133997122821,0.866002877179,0,0.0418251086413,-0.328109024469
124,124,124,124,9.65,24.35,9.14527521888,23.4614032049,-0.769769186,-23.694192151,True,0.672419638881,-1,18,19,-1,0.384884593052,0.615115406948,0,-0.504724781115,-0.888596795136
125,125,125,125,10,21.9,9.90563365757,21.7338626662,-0.018858889,-21.06600611,True,0.125719568904,-1,18,19,-1,0.00942944425346,0.990570555747,0,-0.0943663424268,-0.166137333824
139,139,139,139,4.6,12.2,4.4467599529,13.0126406848,-5.680936906,-17.946822818,True,0.434256528655,-1,12,17,-1,0.0531771823165,0.946822817683,0,-0.153240047102,0.812640684789
141,141,141,141,4.7,12.7,4.61685208742,13.1409381092,-5.505815288,-17.917635881,True,0.235627204288,-1,12,17,-1,0.0823641185911,0.917635881409,0,-0.083147912584,0.440938109189
