command_index,trace_row_index,trace_time_bin,trace_t_s,target_relative_rsrp_db,target_sinr_db,projected_relative_rsrp_db,projected_sinr_db,commanded_gain_db,commanded_noise_power_db,clipped,clipping_distance_scaled,triangle_index,vertex_0,vertex_1,vertex_2,barycentric_0,barycentric_1,barycentric_2
240,240,240,240,2.3,21.3,2.3,21.3,-7.60549942,-28.634965189,False,0,2,18,14,8,0.171577628262,0.10582753158,0.722594840157
241,241,241,241,2.2,18.75,2.2,18.75,-7.727114804,-26.204364912,False,0,11,11,8,9,0.0682212990537,0.446935836625,0.484842864321
242,242,242,242,1.95,18.45,1.95,18.45,-7.980528038,-26.14209646,False,0,11,11,8,9,0.00486799053185,0.383944147165,0.611187862304
243,243,243,243,0.9,15.45,0.9,15.45,-9.100873803,-24.100838657,False,0,28,10,9,6,0.299720447697,0.149842651028,0.550436901274
244,244,244,244,2.85,12.95,2.85,12.95,-7.27362616,-19.610409709,False,0,25,16,17,10,0.156140435049,0.519327355233,0.324532209718
245,245,245,245,0.15,12,0.15,12,-9.979910422,-22.019822588,False,0,27,6,7,10,0.00660752924992,0.98334768192,0.0100447888301
246,246,246,246,-2.95,12.15,-2.95,12.15,-13.100333609,-25.02284635,False,0,9,3,1,15,0.574630968581,0.124797773202,0.300571258217
247,247,247,247,-1.8,13.6,-1.8,13.6,-11.857548028,-25.122493555,False,0,20,2,3,6,0.040831185091,0.887942829014,0.0712259858948
248,248,248,248,-0.6,12.2,-0.6,12.2,-10.723320599,-22.84945401,False,0,18,4,7,3,0.0785089629253,0.638339700512,0.283151336563
249,249,249,249,0.3,13.6,0.3,13.6,-9.76924591,-23.157585196,False,0,27,6,7,10,0.385861731873,0.498761222924,0.115377045203
250,250,250,250,1.35,13.75,1.35,13.75,-8.710849152,-22.127495997,False,0,27,6,7,10,0.0424986656871,0.312925910116,0.644575424197
251,251,251,251,0.8,16.85,0.8,16.85,-9.161250185,-25.687726556,False,0,13,9,5,6,0.419374907536,0.229242185197,0.351382907268
252,252,252,252,-0.55,13,-0.55,13,-10.638288174,-23.476844803,False,0,10,6,3,7,0.173137513832,0.319144087015,0.507718399153
253,253,253,253,-1,13,-1,13,-11.085414128,-23.883021302,False,0,10,6,3,7,0.0849667031402,0.542707064152,0.372326232708
254,254,254,254,-0.05,14.25,-0.05,14.25,-10.094816696,-24.052151038,False,0,10,6,3,7,0.636641998128,0.0474083479402,0.315949653932
255,255,255,255,2.15,14.2,2.15,14.2,-7.898859515,-21.573424634,False,0,25,16,17,10,0.0373823992934,0.0879526418711,0.874664958836
256,256,256,256,-0.7,16.15,-0.7,16.15,-10.67248752,-26.524862873,False,0,19,6,5,2,0.49171237562,0.172043864166,0.336243760214
257,257,257,257,-1.4,13.1,-1.4,13.1,-11.479126232,-24.326196156,False,0,10,6,3,7,0.0358356025409,0.739563116004,0.224601281455
258,258,258,258,-0.6,11.95,-0.6,11.95,-10.738334438,-22.628092974,False,0,18,4,7,3,0.159802894389,0.630832780933,0.209364324678
259,259,259,259,-2.35,10.6,-2.35,10.6,-12.592073499,-23.060732069,False,0,16,4,3,15,0.449064810485,0.25489843992,0.296036749595
260,260,260,260,-2.65,11.55,-2.65,11.55,-12.840234159,-24.210167065,False,0,9,3,1,15,0.585483056427,0.00560013597811,0.408916807595
261,261,261,261,-3.7,11.2,-3.7,11.2,-13.917005548,-24.97487101,False,0,9,3,1,15,0.251705732536,0.210208506371,0.538085761092
262,262,262,262,-2.65,10.7,-2.65,10.7,-12.892369752,-23.469873002,False,0,16,4,3,15,0.212585748393,0.341229375438,0.446184876169
263,263,263,263,-4.05,9.35,-4.05,9.35,-14.394786316,-23.733780268,False,0,7,13,15,1,0.0647971837679,0.867404025813,0.0677987904194
264,264,264,264,-3.85,9.6,-3.85,9.6,-14.17611825,-23.768402591,False,0,9,3,1,15,0.0168876350549,0.10494676017,0.878165604775
265,265,265,265,-3.25,9.15,-3.25,9.15,-13.601956209,-22.762280109,False,0,15,4,15,16,0.121625903116,0.839676100786,0.0386979960973
266,266,266,266,-4.1,10,-4.1,10,-14.399729113,-24.359235492,False,0,7,13,15,1,0.00398164054464,0.804117083803,0.191901275652
267,267,267,267,-3.3,10.2,-3.3,10.2,-13.583791857,-23.72152936,False,0,9,3,1,15,0.242028651044,0.0339245797416,0.724046769215
268,268,268,268,-2.75,12.5,-2.75,12.5,-12.875988064,-25.117694921,False,0,9,3,1,15,0.672415188637,0.110409220461,0.217175590901
269,269,269,269,-1.6,13.05,-1.6,13.05,-11.681112071,-24.461711599,False,0,18,4,7,3,0.0199855024684,0.159443964374,0.820570533158
270,270,270,270,-3,11.45,-3,11.45,-13.198025824,-24.479215819,False,0,9,3,1,15,0.476236159459,0.0752490714146,0.448514769126
271,271,271,271,-2.55,9.7,-2.55,9.7,-12.851038862,-22.489835187,False,0,16,4,3,15,0.553041983941,0.0214385852986,0.42551943076
272,272,272,272,-1.2,12.4,-1.2,12.4,-11.316612643,-23.542320879,False,0,18,4,7,3,0.144199361666,0.341693678552,0.514106959782
273,273,273,273,-1.95,11.2,-1.95,11.2,-12.14709598,-23.155226863,False,0,16,4,3,15,0.565892385457,0.360559624376,0.0735479901672
274,274,274,274,-1.4,11.5,-1.4,11.5,-11.572430169,-22.917347165,False,0,18,4,7,3,0.480432696239,0.21378491553,0.305782388231
275,275,275,275,-0.85,12.7,-0.85,12.7,-10.94757171,-23.501241906,False,0,10,6,3,7,0.0266281133242,0.473785855248,0.499586031428
276,276,276,276,-1.3,14.05,-1.3,14.05,-11.344240583,-25.020223364,False,0,20,2,3,6,0.00674112143667,0.665379169898,0.327879708665
277,277,277,277,-2.2,12.3,-2.2,12.3,-12.335535281,-24.383472603,False,0,16,4,3,15,0.093664038784,0.738568320807,0.167767640409
278,278,278,278,-3.6,9.8,-3.6,9.8,-13.91181919,-23.685362297,False,0,9,3,1,15,0.11044390343,0.0663534986429,0.823202597927
279,279,279,279,-1.65,12.65,-1.65,12.65,-11.75557614,-24.150515446,False,0,18,4,7,3,0.160949588136,0.122211929913,0.71683848195
280,280,280,280,-2.1,12.4,-2.1,12.4,-12.227330618,-24.363458844,False,0,16,4,3,15,0.136403512605,0.749931178388,0.113665309006
281,281,281,281,-1.55,15.95,-1.55,15.95,-11.515189216,-27.255308478,False,0,20,2,3,6,0.751769492587,0.00582511560206,0.242405391811
282,282,282,282,-1.75,12.7,-1.75,12.7,-11.853457225,-24.28075066,False,0,18,4,7,3,0.166478392495,0.0732713875587,0.760250219946
283,283,283,283,-1.4,14.55,-1.4,14.55,-11.423106306,-25.647044702,False,0,20,2,3,6,0.215681567203,0.495871585734,0.288446847063
284,284,284,284,-0.6,13,-0.6,13,-10.687968836,-23.521975525,False,0,10,6,3,7,0.163340757088,0.343984417808,0.492674825103
285,285,285,285,1.2,15.2,1.2,15.2,-8.808735609,-23.542563457,False,0,28,10,9,6,0.485812181103,0.109820014254,0.404367804644
286,286,286,286,0.15,14.15,0.15,14.15,-9.898919663,-23.769869558,False,0,27,6,7,10,0.589956519455,0.359503312205,0.0505401683394
287,287,287,287,-0.7,13.35,-0.7,13.35,-10.774263997,-23.899688737,False,0,10,6,3,7,0.246097580322,0.387131998673,0.366770421004
288,288,288,288,-0.4,13.05,-0.4,13.05,-10.487379595,-23.382517174,False,0,10,6,3,7,0.217149260737,0.243689797391,0.539160941873
289,289,289,289,0.2,13.4,0.2,13.4,-9.87704148,-23.104522081,False,0,27,6,7,10,0.368174026951,0.570346713222,0.0614792598264
290,290,290,290,0.65,16.2,0.65,16.2,-9.328390516,-25.137601677,False,0,13,9,5,6,0.335804742232,0.0458672258011,0.618328031967
291,291,291,291,0.2,15.35,0.2,15.35,-9.803584745,-24.691773984,False,0,27,6,7,10,0.897257994812,0.0045343778996,0.0982076272884
292,292,292,292,1.95,13.25,1.95,13.25,-8.153838729,-20.906125421,False,0,25,16,17,10,0.233592006049,0.156672641683,0.609735352268
293,293,293,293,1.9,15.1,1.9,15.1,-8.112264726,-22.745897719,False,0,28,10,9,6,0.751367427083,0.192500209709,0.0561323632078
294,294,294,294,1.2,15.65,1.2,15.65,-8.794942242,-24.013644929,False,0,28,10,9,6,0.328785023755,0.27374385543,0.397471120815
295,295,295,295,2.4,17.55,2.4,17.55,-7.542436642,-24.823493096,False,0,11,11,8,9,0.114390839592,0.0174249250835,0.868184235325
296,296,296,296,1.05,16.15,1.05,16.15,-8.929516865,-24.685350422,False,0,28,10,9,6,0.104883192596,0.430358374798,0.464758432607
297,297,297,297,1.1,13.95,1.1,13.95,-8.953968994,-22.564620945,False,0,27,6,7,10,0.18820698159,0.288777515489,0.523015502921
298,298,298,298,-1.55,17.35,-1.55,17.35,-11.48919558,-28.691293421,False,0,21,2,5,14,0.514166649587,0.370617780246,0.115215570168
299,299,299,299,0.9,15.8,0.9,15.8,-9.090145628,-24.467235357,False,0,28,10,9,6,0.177588214205,0.277338971943,0.545072813852
300,300,300,300,-0.85,15.75,-0.85,15.75,-10.830233602,-26.25977837,False,0,19,6,5,2,0.580073876756,0.00480932222006,0.415116801024
301,301,301,301,-1.35,18.65,-1.35,18.65,-11.273815368,-29.757009176,False,0,21,2,5,14,0.0512379584921,0.655927178783,0.292834862725
302,302,302,302,1.35,18.85,1.35,18.85,-8.57477235,-27.173150569,False,0,14,8,5,9,0.4369973481,0.287386174957,0.275616476943
303,303,303,303,2.3,19.25,2.3,19.25,-7.620985676,-26.606814583,False,0,11,11,8,9,0.0947535810639,0.598773915175,0.306472503761
304,304,304,304,0.5,16.6,0.5,16.6,-9.468890116,-25.723753789,False,0,13,9,5,6,0.26555494204,0.241251263024,0.493193794936
