delay_bin,delay_ns,expected_power_linear,observed_power_linear,expected_power_db_relative,observed_power_db_relative
0,0,0.471249458691,0.470384895802,0,0
1,21.7013888889,0.238088349448,0.237216979265,-2.96512720081,-2.9730758667
2,43.4027777778,0.200727539659,0.203349247575,-3.7064390292,-3.64210820198
3,65.1041666667,0.0245001141798,0.0240028817207,-12.8408275601,-12.9218997955
4,86.8055555556,0.0232578710854,0.0234002284706,-13.0668090539,-13.0323324203
5,108.506944444,0.0102133474931,0.0100597124547,-16.6408275601,-16.698677063
6,130.208333333,0.0215120725267,0.0212107840925,-13.4056861094,-13.4589662552
7,151.909722222,0.0104512469174,0.0103752482682,-16.5408275601,-16.5645484924
